First Name,Middle Name,Last Name,Maiden Name,Full Name at Birth,Alternative Name,Birthday,Birthplace,Height,Weight,Zodiac Sign,Sexuality,Religion,Ethnicity,Nationality,Occupation
,,Der,,Cathriona Anne White,"Hazel Reyes, Hazel Pascual Reyes, Ara Mina","15th March, 1927","Hermosillo, Sonora, Mexico",,,,,,,,
,,Loy,,Lola Van Vorst,"Nagy Szilárd, Szilárd Nagy","21st January, 1983","Roehampton, London, England, UK",,,,,,,,
,,Kline,,Anthony Shawn Criss,Jer,"7th February, 1985","Huntington, Nevada USA",,,,,,,,
,,De Nagyzsenye,,Bert DeWayne Morris,"Annemarie Carpendale, Annemarie Warnkross","22nd January, 1984","Rosario, Santa Fe, Argentina",,,,,,,,
,,Deyes,,Dorothy E. Abbott,"Leon Robinson, Leon, Leon Preston Robinson IV, Leon Robinson IV, Leon Preston Robinson, Just Leon","18th July, 1931",English,,,,,,,,
,,Jisa,,Ciara Price,"Abdullah II of Jordan, Abdullah II ibn al-Hussein, King Abdullah II","18th September, 1905","Bedford Township, Monroe County, Michigan, USA",,,,,,,,
,,Karan,,Anna M. Stetler,"Szögeczki Ágnes, Ágnes Szögeczki, Szögeczki Ági, Ági Szögeczki, VV Ágica, VV3 Ágica","26th July, 1988","Chicora, MI, USA",,,,,,,,
,,Knese,,Ilka Hack Soares,KC3,"5th May, 1917","Noya, La Coruña, Galicia, Spain",,,,,,,,
,,Weidenfeld,,Jasmine Marie Villegas,"Laczkó Zsolt, Zsolt Laczkó","5th November, 1998","West Chester, Pennsylvania, USA",,,,,,,,
,,McKeague,,Amy Hirsh,"Emma, Emma MacDonald","13th November, 1931","Kingston upon Thames, Greater London, England",,,,,,,,
,,Tyler,,Dalton Vigh de Sousa Vales,Santiago Mitre,"18th January, 1988","Queens, NYC, NY, USA",,,,,,,,
,,Basak,,Maryeva Andressa Hahn S.Oliveira,"Kathryn Dawn Lang, KD Lang, K. D. Lang","5th June, 1993","Mount Vernon, Ohio, USA",,,,,,,,
,,Camsey,,Shivon Alice Zilis,Lil Slott,"24th August, 1998","St. Paul, Minnesota, USA",,,,,,,,
,,Tribell,,Karla Gabriela Ramírez Romano,"Kim, Kim Michelle Sharma, Kim Sharma","8th June, 1956","Hillingdon, Middlesex, England",,,,,,,,
,,Kobal,,Marcelo Andrés Ríos Mayorga,"Liam, Yoga Boy","19th February, 1930","Livermore, California",,,,,,,,
,,Du Feu,,Lois Jean Albright,"Bela Padilla, Krista Sullivan, Krista Valle Sullivan, Krista Cariño Sullivan, Krista Valle, Krista Elyse Hidalgo Sullivan, Krista Elyse Hidalgo Cariño Sullivan","3rd February, 1934","Koto, Tokyo, Japan",,,,,,,,
,,Cuevas,,Mauricio Becker Ávila,"Joo Ji Hoon, Ju Ji Hun, 주지훈, Ju Ji-Hoon, Ju Ji Hoon, Ji-Hoon Ju, Ji Hoon Ju, Ji Hoon Joo, Ji-Hoon Joo, Joo Ji-Hoon","30th June, 1986","Washington, D.C, USA",,,,,,,,
,,Majors,,Isabela Soncini,"Berguzar Gokce, Bergüzar Korel, Bergüzar Gökçe Korel Ergenç","24th April, 1991","Memphis, Tennessee, USA",,,,,,,,
,,Lenya,,Nedra Clark,Milica Jelić,"28th March, 1948","Pittsburgh, PA, USA",,,,,,,,
,,Manziel,,Charles Everett Traynor,"Eleanor Jean Parker, Eleanor Parker","24th October, 1985","South Norwood, Surrey, England",,,,,,,,
,,Fico,,Fleur Minjon,"Corbin Bleu, Bleu Man, Corby","17th June, 1985","Southend-on-Sea, Essex, England",,,,,,,,
,,Price,,Richard Noel Marx,"Wally De Backer, Gotye, Gaultier De Backer, Wouter Andre De Backer, Wouter De Backer, Walter De Backer","13th August, 1906","Augusta, Italy",,,,,,,,
,,Mirchoff,,Noah Baumbach,Jesse Newton,"1st September, 1995","Seattle, Washington",,,,,,,,
,,Cadwalader,,"Mark Shaw, Jr.",Jon Hill,"21st December, 1954","Kaufman, Texas, USA",,,,,,,,
,,Wakefield,,John Charles Smith,Danger,"3rd September, 1947","Torreon, Coahuila",,,,,,,,
,,Bellingham,,Taylor Dawes Goldsmith,"other A-Rod, Little Roddick","27th January, 1972",Pennslyvania,,,,,,,,
,,Stauffer,,Jeanette Bazzell,"William P. Fleckenstein, Bill Fleckenstein","25th January, 1986","Buenos Aires, Federal District, Argentina",,,,,,,,
,,Brierly,,Richard Franklin Lennox Thomas Pryor Sr.,Mariuxi,"20th September, 1989","Cagliari, Sardinia, Italy",,,,,,,,
,,Danjean,,Hampton Lansden Fancher,Grady Hall,"6th October, 1995","South Central Los Angeles, California, USA",,,,,,,,
,,Bartolome,,Caroline Elizabeth Day Mitchum,Anakha,"10th January, 1901","Larchmont, New York",,,,,,,,
,,Lyle,,Luigi Panarelli,"Miss Texas, Miss Texas Brooke Daniels, Brooke Nicole Daniels, Brooke Daniels, Brooke Daniells","26th November, 1963","Zichen-Zussen-Bolder, Belgium",,,,,,,,
,,Dar,,Karl Hart Nagel,"Josie Loren, Josie Lopez","4th August, 1948","Cleveland Cuyahoga County Ohio, USA",,,,,,,,
,,Berardi,,Kasi Bennett,"Vanessa Chantal Paradis, Vanessa Paradis","3rd November, 1977","Ossining, New York, USA",,,,,,,,
,,Axtell,,James T. Murray,Sienna,"18th October, 1983","Medellín, Antioquia, Colombia",,,,,,,,
,,Flannery,,Angelina Jolie Voight,"Charlotte Moss, Lottie Moss, Little Moss, Charlotte Lottie Moss, Leggy Lottie Moss","4th August, 1995","Brighton, East Sussex",,,,,,,,
,,Stiller,,Thanya López,Ellen,"21st October, 1937","Fiesole, Italy",,,,,,,,
,,Galassi,,Walden Robert Cassotto,"The New King, Bob, Arly, The Man with the Perfect Profile","28th June, 1996","Chateauroux, Indre, France",,,,,,,,
,,Grandi,,Stjepan Bačić,"Venegas, La Milagrosa, Julieta Venegas","6th August, 1976","Dekalb, Illinois",,,,,,,,
,,Galgociova,,Marina de Tavira Servitje,"Kimberly Flores, Kimberly Flores Colombani","28th June, 1989","Portland, Oregon, USA",,,,,,,,
,,Dhoni,,Vanessa Plemiannikov,John Gibson,"23rd January, 1969",Essex,,,,,,,,
,,Attias,,Amrita Deepak Rao,"The John Diamond - Oral Cancer Foundation, The Diamond geezer, The John Diamond Voice Laboratory at the Royal Marsden Hospital","18th November, 1969","Mountain View, Arkansas, USA",,,,,,,,
,,Valo,,Stanley Creamer Rubin,"Sibi Bale, Sandra Blazic, Sandra Bale, Sibi Blazic","19th February, 1996","Mumbai, Maharashtra",,,,,,,,
,,Darín,,Lisa Michelle Boney,"Marion Parker, Marion Dean Hughes, Marion Pierce","11th March, 1982","Maynooth, County Kildare, Ireland",,,,,,,,
,,Stoffel,,William Daixel (IMDB) Valia Valentinoff ( Wikipedia),Ashley Moore,"3rd February, 1971","Bethel, Connecticut, USA",,,,,,,,
,,Jardine,,Elvira,Wretch 32,"11th October, 1965","La Varenne Saint Hilaire, Val-de-Marne, France",,,,,,,,
,,Resendez,,Kenneth Mcglashan,Roseanne Vela,"29th June, 1979","Cozumel, Quintana Roo, Mexico",,,,,,,,
,,Lisi,,China Anne McClain,"Dean, 'Tino, Connie, Deuce","20th January, 1952","Brisbane, Queensland, Australia",,,,,,,,
,,Cobbins,,Joan Vollmer,"Chase, Shawn Booth, Shawn B., Shawn","28th June, 1945","Massa, Italy",,,,,,,,
,,McKendry,,Thea Alexis Samper,"Dottie, The Beautiful One, The Sarong Girl","31st May, 1979","Halver, Germany",,,,,,,,
,,Galpern,,Chester Marlon Hanks,"Natalia Esperon, Natalia Esperón Alcocer, Natalia del Carmen Esperón Alcocer, Natalie, Natty, Natita","2nd February, 1975","Brownie, Kentucky, USA",,,,,,,,
,,Raye,,Samuel Eichelbaum,"Kelly Maria Consuelos, Kelly Maria Ripa, Kelly Ripa","16th June, 1997","Marseilles, France",,,,,,,,
,,Rushdie,,Janusz Zygmunt Kaminski,Hazel Keech,"22nd July, 1967","St. Louis, Missouri, U.S.",,,,,,,,
,,Mordovets,,Chelsea Meissner,"Natsuko Tatsumi, 辰巳奈都子 (たつみ なつこ)","14th September, 1981","Salto, Sao Paulo, Brazil",,,,,,,,
,,Moggi,,Skyler Rose Samuels,Jorginho,"27th July, 1902",Isle of Wight,,,,,,,,
,,Aiginiti,,June Juanico,"Jacqueline Loreans, Jacquelin Lorian, Jacqline Lorains, Jacqueline Loriens, Jacqueline Norains, Jacqueline Noriens, Jacqueline Loren, Jacqueline St. Claire, Monique Perry, Abby Desmond","12th October, 1988","Caracas, Venezuela",,,,,,,,
,,Benalloul,,George Frederic Watts,"Son Ji Chang, 손지창, Son Ji-chang","18th August, 1997","Hoxton, London, England",,,,,,,,
,,Dough,,Hayden Anderson,"Brenda Russell, Brenda Gordon","21st February, 1977","Brooklyn, New York City",,,,,,,,
,,Mendicino,,Mary Sanks,"Kathryn Romany Beckinsale, Kate Beckinsale, Kathryn Beckinsale, Kathrin Romary Beckinsale, Kathrin Beckinsale, Kathryn Bailey Beckinsale, Kathrin Romary, Kate","12th February, 1911","Camarines Sur, Philippines",,,,,,,,
,,Oğuz,,Bernard Hill,"Justine Musk, Justine J. Wilson, Justine Wilson, Justine J. Musk, Jennifer Justine Wilson","29th August, 1958","Lewisham, South London",,,,,,,,
,,Fitzpatrick,,Marco Antonio Muñiz Rivera,"Lisa Marie Smith, Lisa Marie","25th December, 1987","Knittenfeld, Austria",,,,,,,,
,,Shroff,,William Rahr Callahan,Sarah Mens,"15th January, 1862","Dejima, Nagasaki,Japan",,,,,,,,
,,Béart,,Renee Elise Gracie,"Gussy, Gussy Lau, Luis Abraham Buelna Vea, René Humberto Lau Ibarra","1st March, 1991","Zalaegerszeg, Hungary",,,,,,,,
,,Rhea,,Markéta Brymová,Gabriella,"10th November, 1964","West London, England, United Kingdom",,,,,,,,
,,Wolfchild,,Viviana Canosa,"Tyrod Di'allo Taylor, Tyrod Taylor","14th April, 1974","Cassadaga, New York, USA",,,,,,,,
,,Fad,,Sarah Jane Hyland,"Bonnie Francesca Wright, Bonnie Wright, Bonnie Kathleen","13th March, 1988","Madeira, Portugal",,,,,,,,
,,Schittka,,Henry Russell Walter,"Melita Nikolic, Mélita Toscan du Plantier, Melita Du Plantier, Melita Toscan Plantier, Mélita Toscan","30th August, 1994","Olomouc, Czech Republic",,,,,,,,
,,Cracchiolo,,Lou Hayter,Billy McNamara,"24th October, 1983","Brou-sur-Chantereine, France",,,,,,,,
,,Shacove,,Carla Costanza Peterson,Rosa Blasi,"28th December, 1973","Makati, Metro Manila, Philippines",,,,,,,,
,,Holzier,,Raffaella Fico,Antonella Mosetti,"9th October, 1994","Bridgeton, New Jersey, U.S.",,,,,,,,
,,Van Vorst,,Marika Domińczyk,"Darius Danesh, Darius, Darius Campbell-Danesh, Darius Campbell Danesh","22nd January, 1963","Texas, USA",,,,,,,,
,,Peppers,,Jazlyn Mychelle Hayes,Azmi Shabana,"9th January, 1946","Los Gatos, California, USA",,,,,,,,
,,Alla,,Maria Cielito Lukban Fernandez,"Godmother of Punk, Patricia Lee Smith, Patricia Smith, Patti Smith, Patti, The Godmother of Punk, Patti, The Godmother of Punk","19th May, 1945",Kuwait,,,,,,,,
,,Newmar,,Jan Sterling Adriance,"Av, The Pop Punk Queen, Avie, Abbie (given by her dad), Abbey Dawn, Avril Lavigne","20th April, 1990","Dharamshala, Himachal Pradesh, India",,,,,,,,
,,Mangano,,Kelly Colleen Lynch,"Christina Cruise, Rebbecca Wild, Rebecca Wilde, Rebecca Wylde, Rebecca Wild","21st February, 1961","Entre Rios, Parana, Argentina",,,,,,,,
,,Tilley,,Trudie Styler,"Gab, Gab Valenciano, Gavriel, Gabriel Valenciano, King of Super Selfies","31st March, 1955","Columbia,SC",,,,,,,,
,,Schumer,,Melissa Howard,"Rosalía, Rosalía (singer), Rosalía Vila, Rosalía Vila Tobella","11th August, 1953","Tipp City, Ohio, USA",,,,,,,,
,,Bilgin,,Andrew Louis Prine,"One-Take Wilson, Luke Paul Wilson","23rd September, 1909","Princeton, NJ, USA",,,,,,,,
,,Firat,,Sandra Lynn Wohlfeil,"Dianna Russini, Diana Russini, Dianna Marie Russini, Diana Marie Russini","18th September, 1972","Howell, New Jersey",,,,,,,,
,,Fairbrother,,Olivia Joyce Compton,"Farrah Fawcett-Majors, Mary Farrah Leni Fawcett, Farrah Fawcett, Ferrah Leni Fawcett, Mary Ferrah Leni Fawcett, Farrah Leni Fawcett, Farrah Faucet, Ferrah Faucet","1st September, 1914","Highland Park, Los Angeles, California, USA",,,,,,,,
,,Azrouel,,Lucie Rose Donlan,"Paul Julian, Christophe, Julian, Jullian, Paul McCoy, Julian Paul, Julian St. Croix, Julien St. Fox, Julien St. Jox, Jullian St. Jox, Julian St. Joy","28th January, 1968","Penticton, British Columbia, Canada",,,,,,,,
,,Calvo,,Matthew Lawton,"Carolyn Sue Baker Spelling, Carolyn Sue Baker Greene, Carolyn Sue Baker Britton","7th October, 1958","Southport, Merseyside, England",,,,,,,,
,,Berelidze,,Shannon Marie Woodward,Susan Zenor,"14th July, 1907","Murrieta, California, USA",,,,,,,,
,,Piqué,,"Tyler ""Ty"" Haney","Austin Mcdonald, Emergency 911","15th September, 1960","Winchester, Massachusetts, USA",,,,,,,,
,,Jollès,,Filippo Inzaghi,James Ralston,"25th May, 1983","Hendon, London, England",,,,,,,,
,,Loyola,,Harper James Simon,"Kata Lynn, Kathy Divan, Judith, Katy, Katlyn, Caroline Kage, Katarin, Lora, Katalin, Caroline Cage, Katalyn Cage","28th December, 1988","Pawnee City, Nebraska USA",,,,,,,,
,,Aziz,,Katherine Kendall Butler,Lenore Stevens,"31st August, 1951",Dares Salaam,,,,,,,,
,,Thi,,Sonika Kumari Vaid,"Janine Turner, Janine Loraine Gauntt","11th June, 1982","Rheinberg, North Rhine-Westphalia, West Germany",,,,,,,,
,,Jimenez,,Ellen Evangeline Hovick,Sarah Greyson,"8th February, 1985","Chandler, Arizona, USA",,,,,,,,
,,Hryharrow,,Thomas Jason Grinstead,Margot Sikabonyi,"30th January, 1915",Parma,,,,,,,,
,,Draper,,Bryce Wilson,"Charles Louboutin, Chuck Taylor, Hurricane Game, The Game, Game, Jayceon Terrell Taylor","6th June, 1966","Moline, Illinois, USA",,,,,,,,
,,Luque,,Louis Francis Albert Victor Nicholas Battenberg,Chippen Wihelmsson,"22nd March, 1990","Great Neck, New York City, New York, USA",,,,,,,,
,,Mira,,Justin Brooks Verlander,"Brad Maddox, Brent Wellington, Tyler K. Warner, Tyler Kluttz, Joshua Kingsley, Joshua Tyler Kluttz, Lord Ruffles, Mad Braddox","16th June, 1903","Valledupar, Colombia",,,,,,,,
,,Rhodes,,Robert Lester Zamora,"Deborah Hodgson, Deborah Rose","15th December, 1975","Mayfair, London, England",,,,,,,,
,,Dobrady,,Jane Harrison,Ant,"27th October, 1953","Kings Mountain, North Carolina",,,,,,,,
,,Nehru,,Jessica Steen,Jaycee Gossett,"30th November, 1882","Santa Maria, Bulacan, Philippines",,,,,,,,
,,Rebagliati,,Robyn Rihanna Fenty,"Lynn Griffis, Grif Griffis","11th May, 1993","Tiraspol, Moldavian SSR, Soviet Union (present-day Transnistria)",,,,,,,,
,,Auric,,Francis Davis Millet,"Manda, Mandy, Chicky, Amanda Bynes, Amanda, Amanda Laura Bynes","20th July, 1964","New York, NYY",,,,,,,,
,,Meldman,,Jana Cozette Ekelund,Wendell Ramos,"9th April, 1974","Hannover, Germany",,,,,,,,
,,Van Halen,,Amanda Michelle Seyfried,"Ray Nicholson, Raymond Broussard Nicholson, Ray, Raymond Nicholson","5th February, 1990","North Nicosia, Northern Cyprus",,,,,,,,
,,Savoie,,Mary Elizabeth Riggs,Tolis,"2nd April, 1991","South Bronx, The Bronx, New York City, New York, USA",,,,,,,,
,,Berner,,James Amschel Victor Rothschild,"Olivia, Olivia Gail O'Brien, Olivia O'Brien","23rd September, 1971","Barahona, Barahona, Dominican Republic",,,,,,,,
,,Faustino,,Gabriela Moura,"Big Vero, La Vero, Verónica Judith Sáinz Castro Alva, Verónica Castro, Verónica Judith Sáenz-Castro Alba, Verónica Judith Sáenz Castro Alba, Chaparrita de oro, Vero, La Chaparrita de Oro, La Chaparrita consentida, Verónica Judith Sáinz Castro, Verónica Judith Sáenz-Castro Alva, Verónica Judith Sáinz Castro Alba, Veronica Castr, Verónica Castro de Capetillo, La big Vero","26th July, 1989","Balakovo, Saratov region, URSS, Russia",,,,,,,,
,,Karmazin,,William Hulett,Karina Banda,"3rd June, 1973","Cheltenham Township, Pennsylvania",,,,,,,,
,,Caesar,,Melissa Curl,"Princess Beatrice of York, Beatrice Elizabeth Mary Mountbatten-Windsor Mountbatten-Windsor, Beatrice Elizabeth Mary, Princess Beatrice, Beatrice Elizabeth Mary Mountbatten-Windsor, Bea York","18th December, 1984","Columbia, Kentucky, U.S.",,,,,,,,
,,Child,,Mary Elle Fanning,"Ava Max, Amanda Ava Koci, Ava, Amanda Kay, Ava Koci, Amanda Koci","17th September, 1956","Santa Rita, NM",,,,,,,,
,,Babb,,Cesare Pavese,"Martin Fuentes, Martín Fuentes","16th May, 1981","Aix-en-Provence, France",,,,,,,,
,,Rowles,,Kelly Rutherford Deane,"Gala Éluard Dalí, Gala","11th February, 1971","Center Ridge, Arkansas, U.S.",,,,,,,,
,,Chandra,,Claire Luce,"Lindsay Jaylyn Price, Lindsay Price","28th July, 1943","Cooperstown, New York, United States",,,,,,,,
,,Towne,,Thomas Carroll Neal Jr.,"Dave Turner, Dave M. Turner","8th October, 1967","17 Bruton Street, Mayfair, London, England, UK",,,,,,,,
,,Jackson,,David Paradine Frost,Elizabeth Scott,"6th July, 1967","Irving, Texas, USA",,,,,,,,
,,Tallarico,,Rachelle Carson,Dominique,"2nd August, 1992","Westchester, New York, USA",,,,,,,,
,,Gallagher,,Lee Trundle,Britney Theriot,"20th May, 1959","Kununurra, Western Australia, Australia",,,,,,,,
,,Gloss,,Maria Katrina Iren Pe Halili,"Monsieur 100.000 Volts, Monsieur Dynamite, The Atomic Bomb, Monsieur 100, 000 Volts","8th July, 1991","Firebaugh, California, USA",,,,,,,,
,,Ochocinco,,Liu Jialing,"Delilah Belle Hamlin, Delilah Hamlin, Delilah","15th May, 1991","Newquay, Cornwell, England, UK",,,,,,,,
,,Gavin,,Éva Ivanova Márta Szőke,Liza,"10th July, 1947","Arequipa, Peru",,,,,,,,
,,Laczkó,,Anabel Davis-Goff,"Jaejoong, Hero, Kim Jaejoong, 김재중, Jae, Jaejoongie, Joongie, Youngwoong Jaejoong, Jejung, 재중, 在中, Jejung (ジェジュン), Kim Jae-joong","11th October, 1994","Gondia, Maharashtra, India",,,,,,,,
,,Nowakowska,,Marian Flores,"Elizabeth Ann Cole, Elizabeth Ashley, Elizabeth Cole","18th May, 1948","Rawson hospital, Buenos Aires",,,,,,,,
,,Unglert,,Kassandra Carolyn Clementi,"Freddy E, Freddy E. Buhl, Freddy E.","19th November, 1982","Bristol, England, UK",,,,,,,,
,,Negrao,,Dahntay Lavall Jones,"Violet Adams, Marilyn Morgan, Violet Ethelred Krauth, Marian Krauth","29th July, 1983","Begusarai, Bihar, India",,,,,,,,
,,Copley,,Tessa Charlotte Rampling,"Silvina Noelia Luna Stavrópulos, Silvina Luna","15th September, 1937","Middleton, Lancashire, England, UK",,,,,,,,
,,Ghauri,,Eduardo Tironi Fontaine,"X to the Z, Exhibit A, Wow Alvin, X, Black John McClane, Xzibit","10th November, 1956","Hertfordshire, London, England, UK",,,,,,,,
,,Jaglom,,Hannah Godwin,Dr. Joel Fleischman,"22nd August, 1992","Plock, Poland",,,,,,,,
,,Bradford,,Juliet Casteneda,"Ashley Anderson, Ash","19th July, 1972","Boston, Massachusetts, United States",,,,,,,,
,,Piccone,,John A McCone,"Sama Khadra, Simi Khadra, Sama Abu Khadra","7th October, 1895","Mérida, Yucatán, Mexico",,,,,,,,
,,Krasniqi,,Kelly Steven Blatz,"Amrita Prakash, The Moo, Amrita Bakshi, Amrutha Prakash, Amrita Prakash Bakshi","10th December, 1986","Chambéry, Savoie, France",,,,,,,,
,,LaBry,,Robie Uniacke,Cleopatra,"2nd October, 1956","Châteauneuf-en-Thymerais, Eure-et-Loir, France",,,,,,,,
,,Speed,,Dania Jissel Ramirez,Savanna,"26th June, 1966","Lithia Springs, Atlanta, Georgia, USA",,,,,,,,
,,Christie,,Anita Rose Morris,"Kedves Ferenc, Ferenc Kedves","6th August, 1962","Turin, Piedmont, Italy",,,,,,,,
,,Barringer,,Zachary Emile Helm,"Celeste, Celeste Long","18th April, 1892","Thornton Heath, London, England",,,,,,,,
,,Babel,,Lakiha Twanique Spicer,"Giff, Francis Newton Gifford, Francis Gifford","31st May, 1977","Brooklyn, New York.USA",,,,,,,,
,,Kalman,,Christian Kalt,Pampi Lacson,"21st December, 1872","Maranguape, Ceara, Brazil",,,,,,,,
,,Hubley,,Pia Angela Wurtzbach,"Katherine Elaine Hendrix, Elaine Hendrix","3rd April, 1996","Westlake, Ohio USA",,,,,,,,
,,Bielik,,Verónica Lozano,Victoria Alex,"5th June, 1961","Tossa de Mar, Girona, Catalonia, Spain",,,,,,,,
,,Hahn,,Margaret Parky Devogelaere,"Marvin, Zooey, Em, Lily","9th June, 1937","Columbus, Ohio, USA",,,,,,,,
,,Mander,,Luciana Gimenez Morad,"Memo Ochoa, Francisco Guillermo Ochoa Magaña, Guillermo Ochoa",21st October,"Celbridge, County Kildare, Ireland",,,,,,,,
,,Garbo,,Redmond Christopher Fernandez Domingo,"Daniella Karagach, Daniella Brittany Karagach","19th March, 1995","Commack, Long Island, New York, USA",,,,,,,,
,,Rane,,Laurie Dee Harris,"Bardot, Sophie Charlene Akland Monk, Sophie Monk, Софи Монк","3rd December, 1982","Barcelona, Barcelona, Catalonia",,,,,,,,
,,Ferraro,,Biagio Anthony Gazzara,Rene H. Clary,"23rd April, 1928","Washington, D.C USA",,,,,,,,
,,Egglesfield,,Sandra Gail Bernhard,"Donatella Versace, Donatella Francesca Versace, Donatella Francesca Latita Versace, Donatella","25th July, 1995","Waseca, MN, USA",,,,,,,,
,,Oddi,,Kurt Iswarienko,"Jade Foret, Jade Drill, Jade Lagardère","6th January, 1982","San Clemente, California, USA",,,,,,,,
,,Kola,,Chrystal Soo Jung,"Analyn, Anabanana","28th May, 1967","Vancouver Island, British Columbia, Canada",,,,,,,,
,,Willett,,Tionne Tenese Watkins,Zelda,"9th October, 1960","Oxford, England, United Kingdom",,,,,,,,
,,Bustamante,,Anderson Dornelles,Andy,"13th November, 1958","Galena, Illinois, U.S.",,,,,,,,
,,Damm,,Nicola Schenck,Flo Rida,"23rd September, 1997","Mobile, AL, USA",,,,,,,,
,,Petruzzi,,Faith Stone,"Daily Grace, It's Grace","5th November, 1971","Rishikesh, Uttarakhand, India",,,,,,,,
,,Rijnsburger,,John Thomas McCook,Tuza,"5th April, 1986","Garden City, New York, USA",,,,,,,,
,,Seara,,Robert Alan Krieger,Pasha Pashkov,"29th September, 1928","The Bronx, New York, U.S.",,,,,,,,
,,Simenon,,Fernando Francisco González Ciuffardi,"Ivana De Maria, Ivana Diez Barroso, Ivana Rovzar, Ivana Maria, Ivana Maria Moreno-Valle Diez-Barroso","8th December, 1983","Sandpoint, Idaho, USA",,,,,,,,
,,Disick,,Diana Freeman-Mitford,"Sara Wells Wyle, Sara Wells, Sara Wyle","24th June, 1905","Brentwood, California, USA",,,,,,,,
,,Rotten,,Trina Dow,"Nina Hardley, Nina Harley, Nina Hartman, Nina Hartwell, Anal Annie, Edith, Nina Hartely, Nina, Marie Louise Hartman, Nina Hartley, Nina Hartly, The Goddess of Porn","11th September, 1958","Moorestown, New Jersey",,,,,,,,
,,Henger,,Elizabeth Ann Phillips,"La Gaviota, Angélica Rivera, Angélica Rivera Hurtado","16th November, 1973","King's College Hospital, London, England",,,,,,,,
